NAME,GENDER
aamir,m
aaron,m
abbot,m
abbott,m
abby,m
abdel,m
abdul,m
abdulkarim,m
abdullah,m
abe,m
abel,m
abelard,m
abraham,m
abram,m
ace,m
adair,m
adam,m
adams,m
adger,m
aditya,m
adnan,m
adolf,m
adolfo,m
adolph,m
adolphe,m
adolpho,m
adolphus,m
adrick,m
adrien,m
agamemnon,m
aguinaldo,m
aguste,m
agustin,m
aharon,m
ahmed,m
ahmet,m
ajay,m
al,m
alaa,m
alain,m
alan,m
alasdair,m
alastair,m
albatros,m
albert,m
alberto,m
alden,m
aldis,m
aldo,m
aldric,m
aldrich,m
aldus,m
alec,m
aleck,m
alejandro,m
aleks,m
alessandro,m
alex,m
alexander,m
alexei,m
alexis,m
alf,m
alfie,m
alfonse,m
alfonso,m
alfonzo,m
alford,m
alfredo,m
algernon,m
ali,m
alic,m
alister,m
alix,m
allah,m
allan,m
allen,m
alley,m
allie,m
allin,m
allyn,m
alonso,m
alonzo,m
aloysius,m
alphonse,m
alston,m
alton,m
alvin,m
alwin,m
amadeus,m
ambros,m
ambrose,m
ambrosi,m
ambrosio,m
ambrosius,m
amery,m
amory,m
amos,m
anatol,m
anatole,m
anatollo,m
anatoly,m
anders,m
andonis,m
andre,m
andrea,m
andreas,m
andrej,m
andres,m
andrew,m
andrey,m
andrus,m
andrzej,m
andy,m
angel,m
angelico,m
angelo,m
angie,m
angus,m
ansell,m
anselm,m
anson,m
anthony,m
antin,m
antoine,m
anton,m
antoni,m
antonin,m
antonino,m
antonio,m
antonius,m
antony,m
anurag,m
apollo,m
apostolos,m
aram,m
archibald,m
archibold,m
archie,m
archon,m
archy,m
arel,m
ari,m
arie,m
ariel,m
aristotle,m
arlo,m
armand,m
armando,m
armond,m
armstrong,m
arne,m
arnie,m
arnold,m
arnoldo,m
aron,m
arron,m
art,m
arther,m
arthur,m
artie,m
artur,m
arturo,m
arvie,m
arvin,m
arvind,m
arvy,m
ash,m
ashby,m
ashish,m
ashley,m
ashton,m
aub,m
aube,m
aubert,m
augie,m
august,m
augustin,m
augusto,m
augustus,m
austen,m
austin,m
ave,m
averell,m
averil,m
averill,m
avery,m
avi,m
avraham,m
avrom,m
axel,m
aylmer,m
aziz,m
bailey,m
bailie,m
baillie,m
baird,m
baldwin,m
bancroft,m
barbabas,m
barclay,m
bard,m
barde,m
barn,m
barnabas,m
barnabe,m
barnaby,m
barnard,m
barnebas,m
barnett,m
barney,m
barnie,m
barny,m
barret,m
barrett,m
barri,m
barrie,m
barris,m
barron,m
barry,m
bart,m
bartel,m
barth,m
barthel,m
bartholemy,m
bartholomeo,m
bartholomeus,m
bartholomew,m
bartie,m
bartlet,m
bartlett,m
bartolemo,m
bartolomei,m
bartolomeo,m
barton,m
barty,m
bary,m
basil,m
baxter,m
bay,m
bayard,m
beale,m
bealle,m
bear,m
bearnard,m
beau,m
beaufort,m
beauregard,m
beck,m
bela,m
ben,m
benedict,m
